મુખપૃષ્ઠ	Main Page
વિશ્વ અદાલત	International Court of Justice
બરવાળા	Barvala, Botad district
બેડી બંદર	Bedi, Gujarat
Outdent	Outdent
Nosubst	Nosubst
બાબરીયાવાડ	Babariawad
Janata Dal/meta/color	Janata Dal/meta/color
Janata Party/meta/color	Janata Party/meta/color
અંબાલાલ સારાભાઈ	Ambalal Sarabhai
દેવ ભૂમિ દ્વારકા જિલ્લો	Devbhoomi Dwarka district
બેટ 	Bet Dwarka
બાબરીયા	Babaria
હાલાર	Halar
ભુચર મોરી	Bhuchar Mori
Ethnologue16	Ethnologue16
યોગ​વાસિષ્ઠ	Yoga Vasistha
દુલિપસિંહજી	Duleepsinhji
Infobox cricketer/national side	Infobox cricketer/national side
Infobox cricketer/career	Infobox cricketer/career
ભારતના રજવાડાઓની યાદી	List of princely states of British India 
Country data Bahawalpur	Country data Bahawalpur
Country data State of Dir	Country data State of Dir
Country data Travancore	Country data Travancore
Country data State of Kharan	Country data State of Kharan
આમોદરા 	Amodara
ખૂલ્લો હાથ સ્મારક	Open Hand Monument
Infobox artwork	Infobox artwork
જમ્મુ અને કાશ્મીર લાઇટ્ ઇન્ફન્ટ્રી	Jammu and Kashmir Light Infantry
જમ્મુ અને કાશ્મીર રાઇફલ્સ	Jammu and Kashmir Rifles
લદ્દાખ સ્કાઉટ્સ	Ladakh Scouts
ડોગરા રેજિમેન્ટ	Dogra Regiment
મોફલૉંગ	Mawlynnong
પંજાબ રેજિમેન્ટ	Punjab Regiment 
લુણાવાડા રજવાડું	Lunavada State
વાંકાનેર રજવાડું	Wankaner State
અતિકાયા	Atikaya
છોટાઉદેપુર રજવાડું	Chhota Udaipur State
કરણ ઘેલો	Karan Ghelo
શીખ લાઇટ્ ઇન્ફન્ટ્રી	Sikh Light Infantry
Tfm/dated	Tfm/dated
શીખ રેજિમેન્ટ	Sikh Regiment
જાટ રેજિમેન્ટ	Jat Regiment
થઇ જશે! 	Thai Jashe!
કેવી રીતે જઈશ? 	Kevi Rite Jaish
ગઢવાલ રાઇફલ્સ	The Garhwal Rifles
પાળિયા	Paliya
હરજી લવજી દામાણી	Harji Lavji Damani
કુમાઉં રેજિમેન્ટ	Kumaon Regiment
હિથ લેજર	Heath Ledger
દૂધસાગર ધોધ	Dudhsagar Falls
આંબાવાડી	Ambawadi
ભીમતાલ	Bhimtal
સાતતાલ	Sattal
ઘાટલોડિયા 	Ghatlodiya 
રાજપૂતાના રાઇફલ્સ	Rajputana Rifles
ચીમનલાલ ગીરધરલાલ માર્ગ	Chimanlal Girdharlal Road
જખ બોંતેરા	Jakh Botera
Flagicon image	Flagicon image
રાજપૂત રેજિમેન્ટ	Rajput Regiment
બૈલોંગ એલિવેટર	Bailong Elevator
Zh	Zh
મરાઠા લાઇટ્ ઇન્ફન્ટ્રી	Maratha Light Infantry
મહાર રેજિમેન્ટ	Mahar Regiment
મદ્રાસ રેજિમેન્ટ	Madras Regiment
બિહાર રેજિમેન્ટ	Bihar Regiment
Lang-ar	Lang-ar
Language with name and transliteration	Language with name and transliteration
આસામ રેજિમેન્ટ	Assam Regiment
નાગા રેજિમેન્ટ	Naga Regiment
અરુણાચલ સ્કાઉટ્સ	Arunachal Scouts
આસન	Asana
Subscription required	Subscription required
Link note	Link note
૧ ગુરખા રાઇફલ્સ	1st Gorkha Rifles 
Columns-list	Columns-list
ટીપણી નૃત્ય	Tippani dance
Pages with script errors	Pages with script errors
સિક્કિમ સ્કાઉટ્સ	Sikkim Scouts
Cite gvp	Cite gvp
PH wikidata	PH wikidata
ઝુબેદા	Zubeida
શિવ મંદિર, કેરા	Shiva temple, Kera
ધીણોધર ટેકરીઓ	Dhinodhar Hills
ગીર સોમનાથ જિલ્લો	Gir Somnath district
કચ્છનું રણ	Rann of Kutch
શ્રવણ	Shravan
છારી-ઢંઢ જળપ્લાવીત ભૂમી સંવર્ધન ક્ષેત્ર	Chari-Dhand Wetland Conservation Reserve
પાબુમઠ	Pabumath
બાબરકોટ 	Babar Kot
કચ્છનો ઇતિહાસ	History of Kutch
કાનમેર 	Kanmer
આઇસીઆઇસીઆઇ પ્રુડેન્શિયલ મ્યુચ્યુઅલ ફંડ	ICICI Prudential Mutual Fund
ગોળા ધોરો	Gola Dhoro
રંગપુર 	Rangpur, India
ભગત્રવ	Bhagatrav
વાતાવરણ	Atmosphere
Country abbreviation	Country abbreviation
ISO 3166 code	ISO 3166 code
ચાવડા રખાલ	Chavda Rakhal
અથર્વવેદ	Atharvaveda
Coordinates on Wikidata	Coordinates on Wikidata
Death date	Death date
મંડા, જમ્મુ	Manda, Jammu
Cite interview	Cite interview
સુરકોટડા	Surkotada
અલાદી રામક્રિષ્નન	Alladi Ramakrishnan
ચીર બત્તી	Chir Batti
બોટાદ તાલુકો	Botad Taluka
ડેડીયાપાડા	Dediapada
ગુજરાતનાં તાલુકાઓ	Talukas of Gujarat
વલ્લભીપુર તાલુકો	Vallabhipur Taluka
ગીર ગઢડા તાલુકો	Gir Gadhada Taluka
દસ્ક્રોઇ તાલુકો	Daskroi Taluka
દેત્રોજ-રામપુરા તાલુકો	Detroj-Rampura
ઝાલોદ તાલુકો	Jhalod Taluka
હાજીપીર	Hajipir
રાણપુર તાલુકો	Ranpur Taluka
ધોળકા તાલુકો	Dholka Taluka
ધંધુકા તાલુકો	Dhandhuka 
વિરમગામ તાલુકો	Viramgam Taluka
ભરવાડ	Bharwad
સાણંદ તાલુકો	Sanand 
માંડલ તાલુકો	Mandal 
તળાજા ગુફાઓ	Talaja Caves
Infobox holiday	Infobox holiday
Ifarticle	Ifarticle
Infobox holiday/date	Infobox holiday/date
Infobox event	Infobox event
લૈશમેનિયાસિસ	Leishmaniasis
રક્તપિત	Leprosy
DiseasesDB2	DiseasesDB2
કપરાડા તાલુકો	Kaparada Taluka
દીપિકા કુમારી	Deepika Kumari
મૃદુલા સારાભાઇ	Mridula Sarabhai
Infobox settlement/columns	Infobox settlement/columns
પૈડું	Wheel
Infobox Hindu temple	Infobox Hindu temple
વિજય રૂપાણી	Vijay Rupani
મધુસૂદન ઢાંકી	Madhusudan Dhaky
ઝાર રાંદેરી	Zar Randeri
GFDL files	GFDL files
ભીલી બોલી	Bhili language
Glottolink	Glottolink
Glottolog	Glottolog
૨ 	2
અરોર	Aror
Infobox region symbols	Infobox region symbols
પી. વી. સિંધુ	P. V. Sindhu
Infobox badminton player	Infobox badminton player
Infobox person/height/switch	Infobox person/height/switch
Infobox person/weight/locate	Infobox person/weight/locate
Infobox person/weight	Infobox person/weight
Infobox person/height	Infobox person/height
Infobox person/height/locate	Infobox person/height/locate
ઉત્પાદન ઇજનેરી	Production engineering
બાલાશંકર કંથારીયા	Balashankar Kantharia
ઉમરેઠ તાલુકો	Umreth Taluka
દહેજ	Dowry
Chart	Chart
Chart/end	Chart/end
TreeChart	TreeChart
TreeChart/data	TreeChart/data
Chart bottom	Chart bottom
Chart/start	Chart/start
Chart top	Chart top
પરાવર્તિત ટેલીસ્કોપ	Newtonian telescope
મુઘલ સ્થાપત્ય	Mughal architecture
દિલ્હી સલ્તનત	Delhi Sultanate
Colour box	Color box
રોંગ સાઈડ રાજુ	Wrong Side Raju
હરદ્વાર ગોસ્વામી	Hardwar Goswami
અવિભાજ્ય સંખ્યા	Prime number
કવિ શાસ્ત્રી	Kavi Shastri
Get year	Get year
સુરેન્દ્રનગર રેલ્વે સ્ટેશન	Surendranagar Junction railway station
Distinguish	Distinguish
Hatnote list	Hatnote list
૩ ગુરખા રાઇફલ્સ	3rd Gorkha Rifles
ગોહિલવાડ ટીંબો	Gohilwad Timbo
Lang-sa	Lang-sa
લિનક્સ ડિસ્ટ્રીબ્યુશન્સની યાદી	List of Linux distributions
ભુચર મોરીનું યુદ્ધ	Battle of Bhuchar Mori
KIA	KIA
Country extract	Country extract
Usercheck-short	Usercheck-short
Edit count link	Edit count link
AfD count link	AfD count link
Cite wikisource	Cite wikisource
કારડીયા	Karadiya Rajput
સનવાવ 	Sanvav
મુંગેલી જિલ્લો	Mungeli district
મુંગેલી	Mungeli
Infobox India district	Infobox India district
Tlg	Tlg
Uses Infobox settlement	Uses Infobox settlement
બાવનગજા તીર્થ	Bawangaja
IPA-sa	IPA-sa
Photomontage	Photomontage
Photo montage	Photo montage
શિવનેરી કિલ્લો	Shivneri
Automatic taxobox	Automatic taxobox
Taxobox/taxonomy	Taxobox/taxonomy
Taxobox/showtaxon	Taxobox/showtaxon
Edit taxonomy	Edit taxonomy
નરનાળા કિલ્લો	Narnala
કોલાબા કિલ્લો	Kolaba Fort
કાળહસ્તી મંદિર	Srikalahasti
સ્પર્ધાત્મક પ્રોગ્રામિંગ	Competitive programming
વણાકબોરી તાપ વિદ્યુત કેન્દ્ર	Wanakbori Thermal Power Station
Google	Google
Warning	Warning
Str index	Str index
કાલાવડ તાલુકો	Kalavad Taluka
આચાર્ય હરિભદ્ર	Haribhadra
ભેડાઘાટ	Bhedaghat
માહિતીચોકઠું ધાર્મિક જીવનચરિત્ર	Infobox religious biography
Empty section	Empty section
કોડિઆક રીંછ	Kodiak bear
અલાસ્કા	Alaska
બદામી, કર્ણાટક	Badami
શ્યામજી કૃષ્ણ વર્મા	Shyamji Krishna Varma
૪ ગુરખા રાઈફલ્સ	4th Gorkha Rifles
મંદિર સંસ્થા	The Temple Institute
WAM talk 2016	WAM talk 2016
ભુજિયો કિલ્લો	Bhujia Fort
ચંદ્રગુપ્ત મૌર્ય	Chandragupta Maurya
૫ ગુરખા રાઇફલ્સ	5th Gorkha Rifles 
૮ ગુરખા રાઇફલ્સ	8th Gorkha Rifles
ડિમેન્શિયા	Dementia
૯ ગુરખા રાઇફલ્સ	9th Gorkha Rifles
૧૧ ગુરખા રાઇફલ્સ	11th Gorkha Rifles
અંબાપુરની વાવ	Step-well of Ambapur
પેરાશુટ રેજિમેન્ટ	Parachute Regiment 
હુણ	Huna people
બ્રિગેડ ઓફ ગાર્ડસ	Brigade of the Guards
યાંત્રિક પાયદળ રેજિમેન્ટ	Mechanised Infantry Regiment
Autotaxobox colour	Autotaxobox colour
Taxobox/Error colour	Taxobox/Error colour
Taxobox/italics	Taxobox/italics
Taxobox/taxonomy cell/display	Taxobox/displayed cell
Taxonomy/Acacia	Taxonomy/Acacia
લેન્સડાઉન	Lansdowne, India
ઉર્જિત પટેલ	Urjit Patel
ઇઝરાયેલ નેશનલ લાયબ્રેરી	National Library of Israel
રાજગઢી ટીંબો	Rajgadhi Timbo
રાધેશ્યામ શર્મા	Radheshyam Sharma
Which	Which
BS-2	BS-2
BSrow-2	BSrow-2
Webarchive	Webarchive
Webarchive	Webarchive
Legend inline	Legend inline
ઇઝરાયેલ મ્યુઝિયમ	Shrine of the Book
Google Books	Google books
સાબરમતી કે સંત	De Dee Hame Azaadi
Infobox single	Infobox single
External music video	External music video
તેહરી બંધ	Tehri Dam
ધોળી ગંગા નદી	Dhauliganga River
દેવાંગ મહેતા	Dewang Mehta
ઉકાઇ તાપ વિદ્યુત મથક	Ukai Thermal Power Station
જીએસએફસી યુનિવર્સિટી	GSFC University
ગોહિલવાડ પ્રાંત	Gohelwar
પાંઝરા નદી	Panzara River
બંસીલાલ વર્મા	Bansilal Verma
કચ્છ તાપ વિદ્યુત મથક	Kutch Thermal Power Station
સિક્કા તાપ વિદ્યુત મથક	Sikka Thermal Power Station
વિશનસર સરોવર	Vishansar Lake
ઊનપદેવ, શહાદા	Unapdev
પ્રીતિ સેનગુપ્તા	Priti Sengupta
દુર્ગા	Durga
કૃષ્ણગંગા નદી	Neelum River
ધોડીયા લોકો	Dhodia
સુમાલી	Sumali
રણછોડદાસ પગી	Ranchordas Pagi
આંબા ઘાટ	Amba Ghat
Infobox Mountain Pass	Infobox mountain pass
આંબાઝરી તળાવ	Ambazari Lake
AfDs/core	AfDs/core
AfDs	AfDs
શત્રુઘ્ન	Shatrughna
એલોન મસ્ક	Elon Musk
કુણાલ ગાંજાવાલા	Kunal Ganjawala
હાટકોટી	Hatkoti
ઊર્મિલા	Urmila
માંડવી 	Mandavi
બાદરાયણ	Badarayana
મોગરો	Jasminum sambac
આશારામ દલીચંદ શાહ	Asharam Dalichand Shah
બ્રાઈમોર	Brimore
શ્રી જયકોરબાઈ વિદ્યામંદિર, ખેરવા	Shree Jaykorbai Vidyamandir
વસંતપંચમી	Vasant Panchami
બળવંત પારેખ	Balvant Parekh
રત્નસુંદરસૂરિ	Ratnasundarsuri
રમેશ તેંડુલકર	Ramesh Tendulkar
NEP	NPL
માંધાતા બેટ	Mandhata
ઓમકારેશ્વર રોડ રેલ્વે સ્ટેશન	Omkareshwar Road railway station
સસલું	Rabbit
ગાંધી સ્મારક રોડ રેલ્વે સ્ટેશન	Gandhi Smarak Road railway station
નેશનલ બુક ટ્રસ્ટ, ભારત	National Book Trust
અષ્ટમંગળ	Ashtamangala
સંગ્રામ કિલ્લો, ચાકન	Sangram Durg
મોસમ નદી	Mausam River
હરણબારી બંધ	Haranbari Dam
માહુલીગડ	Mahuli
વલ્લભસૂરી	Vallabhsuri
ગિરણા નદી	Girna River
અંકાઈ કિલ્લો	Ankai Fort
ટંકાઈ કિલ્લો	Tankai fort
સલોટા કિલ્લો	Salota fort
કાલા રામ મંદિર, નાસિક	Kalaram Temple
બીલખિયા સ્ટેડિયમ, વાપી	Bilakhiya Stadium
ગાંધારપુલે ગુફાઓ	Gandharpale Caves
મહેંદી રંગ લાગ્યો 	Mehndi Rang Lagyo
ડેટા 	Data 
વધુ સંદર્ભ જરૂરી	Full citation needed
અરકી કિલ્લો	Arki Fort
સહસ્ત્રકુંડ ધોધ	Sahatrakund Waterfall
બ્રહ્મ	Brahman
અમેરિકનો	Americans
ભારતીય અમેરિકનો	Indian Americans
ભારતીયો	Indian people
Infobox province or territory of Canada	Infobox province or territory of Canada
Infobox U.S. state	Infobox U.S. state
ટેક્સસ	Texas
ન્યૂ યૉર્ક	New York 
ન્યૂ જર્સી	New Jersey
બિરલા પ્લેનેટોરિયમ	Birla Planetarium, Kolkata
સ્વારઘાટ, હિમાચલ પ્રદેશ	Swarghat
કાજા, સ્પીતી, હિમાચલ પ્રદેશ	Kaza, Himachal Pradesh
વરદાન મઠ	Bardan Monastery
પિચી-વઝાની વન્યજીવ અભયારણ્ય	Peechi-Vazhani Wildlife Sanctuary
પૂર્ણિમાબેન પકવાસા	Poornima Arvind Pakvasa
કસાર દેવી, ઉત્તરાખંડ	Kasar Devi
સાર પાસ ટ્રેક	Sar Pass Trek
હમ્તા પાસ ટ્રેક	Hamta Pass
નક્કશ દેવી - ગોમતી ધામ, હિન્ડોન	Nakkash Ki Devi - Gomti Dham
હિન્ડોન, રાજસ્થાન	Hindaun
એશીયામાં આવેલા દેશોની રાજધાનીઓ	Capitals in Asia
મોર બની થનગાટ કરે	Mor Bani Thanghat Kare
ગુજરાતી ગીત	Gujarati-language songs
ધુવારણ તાપ વિદ્યુત મથક	Dhuvaran Thermal Power Station
બિટ્ટા સૌર ઊર્જા એકમ	Bitta Solar Power Plant
મીઠાપુર સૌર ઊર્જા એકમ	Mithapur Solar Power Plant
રેસ કોર્સ, વડોદરા	Race Course, Vadodara
અરૂણાવતી નદી	Arunavati River
ઘનગડ કિલ્લો	Ghangad
રામસેજ કિલ્લો	Ramsej
બરકના ધોધ	Barkana Falls
ફારુખ એન્જીનિયર	Farokh Engineer
ભાઈચુંગ ભુટિયા	Bhaichung Bhutia
પવનકુમાર ચામલિંગ	Pawan Kumar Chamling
સરદાર વલ્લભભાઈ પટેલ સ્ટેડિયમ, વલસાડ	Sardar Vallabhbhai Patel Stadium, Valsad
સુંવાળી બિચ, સુરત	Suvali Beach
બુદ્ધિપ્રકાશ	Buddhiprakash
સ્મારક સ્તંભ, સંજાણ	Sanjan Stambh
TOC limit	TOC limit
મુનમુન દત્તા	Munmun Dutta
સેંટિયાગો	Santiago
ધ ગ્રેનેડિયર્સ	The Grenadiers
હંગપન દાદા	Hangpan Dada
અશોક ચક્ર વિજેતા	Recipients of the Ashoka Chakra 
મોહન ગોસ્વામી	Mohan Nath Goswami
મુકુંદ વરદરાજન	Mukund Varadarajan
માધાવાવ	Madhavav
રાજા દાહિર	Raja Dahir
કે પ્રસાદ બાબુ	K. Prasad Babu
રેડિયો સિટી	Radio City 
ટ્વિટર	Twitter
લેબ્રાડોર રિટ્રીવર	Labrador Retriever
બાપુનગર	Bapunagar
કડિયા ડુંગર, ઝાઝપોર	Kadia Dungar Caves
અક્કાના મદન્ના ગુફા મંદિર	Akkana Madanna Caves
તાલકટોરા ઉદ્યાન, દિલ્હી	Talkatora Gardens
રાષ્ટ્રીય પ્રાકૃતિક ઇતિહાસ સંગ્રહાલય, નવી દિલ્હી	National Museum of Natural History, New Delhi
સ્પેનિશ ભાષા	Spanish language
Significant figures/rnd	Significant figures/rnd
Country data Gibraltar	Country data Gibraltar
Country data African Union	Country data African Union
Country data United Nations	Country data United Nations
સિલ્વર જ્યુબિલી રેલ્વે બ્રીજ, ભરુચ	Silver Jubilee Railway Bridge Bharuch
નવદીપ સિંઘ	Navdeep Singh 
લઈશરામ જ્યોતિન સિંઘ	Laishram Jyotin Singh
રાજેશ કુમાર	Rajesh Kumar 
ડી શ્રીરામ કુમાર	D. Sreeram Kumar
પ્રવરા નદી	Pravara River
વિવેક ચૂડામણિ	Vivekachudamani
ભારતીય ઉપખંડ પર મુસલમાની આક્રમણો	Muslim conquests in the Indian subcontinent
CS1 Sanskrit-language sources 	CS1 Sanskrit-language sources 
મહીપતરામ રૂપરામ નીલકંઠ	Mahipatram Rupram Nilkanth
ઇસ્લામિક આક્રમણો	Early Muslim conquests
મહંમદ ઘોરી	Muhammad of Ghor
સાંગ 	Saang
લક્ષ્મીચંદ 	Lakhmi Chand
મીઠી વાવ, પાલનપુર	Mithi Vav
બેજા રજવાડું	Beja State
ગુજરાતમાં રાજ્ય સંરક્ષિત સ્મારકોની યાદી	List of State Protected Monuments in Gujarat
ASI Monument header	ASI Monument header
ASI Monument row	ASI Monument row
Ordered list	Ordered list
નેહા તન્વર	Neha Tanwar
ભારતીય મહિલા ક્રિકેટર	Indian women cricketers
શુભાંગી કુલકર્ણી	Shubhangi Kulkarni
શોભા પંડિત	Shobha Pandit
સંજુ નારણભાઈ વાળા	Sanju Vala
વિકી બત્રા 	Vicky Batra
સાયલન્ટ વેલી રાષ્ટ્રીય ઉદ્યાન	Silent Valley National Park
જ્યોત્સના પટેલ	Jyotsna Patel
મીનોતી દેસાઈ	Minoti Desai
પાતાળપાણી ધોધ	Patalpani waterfall
પાંડવ ધોધ	Pandav Falls
મેઘના નદી 	Meghna River
બાંગ્લા દેશ	Bangladesh
બંગાળની ખાડી	Bay of Bengal
વારલી	Warli
દાભોસા ધોધ	Dabhosa Waterfalls
વિનાયક દામોદર સાવરકર	Vinayak Damodar Savarkar
કોકલીયર પ્રત્યારોપણ	Cochlear implant
૧૯૬૫નું ભારત-પાકિસ્તાન યુદ્ધ	Indo-Pakistani War of 1965
રા' નવઘણ	Navaghana 
શિવસાગર સરોવર	Shivsagar Lake
કોયના નદી	Koyna River
ચોસઠ જોગણી મંદિર, ખજુરાહો	Chausath Yogini temple, Khajuraho
પદ્મશ્રી પુરસ્કાર યાદી ૧૯૫૪ -૧૯૫૯	List of Padma Shri award recipients 
બોંદલા વન્યજીવ અભયારણ્ય	Bondla Wildlife Sanctuary
Wikivoyage-inline	Wikivoyage-inline
Notelist-ua	Notelist-ua
CCBYSASource	CCBYSASource
Text of Creative Commons Attribution-ShareAlike 3.0 Unported License	Text of Creative Commons Attribution-ShareAlike 3.0 Unported License
Efn-ua	Efn-ua
સોંસોગોર પર્વત	Sonsogor
અમૃતા એચ. પટેલ	Amrita Patel
અરિજીત સિંઘ	Arijit Singh
ધ્રાંગધ્રા રેલ્વે સ્ટેશન	Dharangadhra railway station
ઓઇલ એન્ડ નેચરલ ગેસ કોર્પોરેશન	Oil and Natural Gas Corporation
દાતરડું	Sickle
કુહાડી	Axe
કોદાળી	Hoe 
ઝારી	Watering can
રંદો	Plane 
Cite thesis	Cite thesis
એબીબી ગ્રુપ	ABB Group
આંધી	Dust Bowl
કાચા કરા	Graupel
US$	US$
ગોપીનાથ મંદિર, ઉત્તરાખંડ	Gopinath Mandir
Infobox writing system	Infobox writing system
ISO 15924 code	ISO 15924 code
ગુજરાતી બ્રેઇલ	Gujarati Braille
Braille cell	Braille cell
Braille cell/main	Braille cell/main
Braille cell/main2	Braille cell/main2
Braille cell/core	Braille cell/core
Braille cell/main2singlecell	Braille cell/main2singlecell
Braille cell/dot-id2character	Braille cell/dot-id2character
Braille cell/dot-id2filename	Braille cell/dot-id2filename
Braille cell/dot-id2filename-8dot	Braille cell/dot-id2filename-8dot
Braille cell/dot-id2unicode-id	Braille cell/dot-id2unicode-id
Braille cell/english&cell2dot-id	Braille cell/english&cell2dot-id
Braille cell/lang2lang-id	Braille cell/lang2lang-id
હોસદુર્ગ 	Hosdurg Fort
બલેશ્વર મંદિર, ચંપાવત	Baleshwar Temple
જગ્ગી વાસુદેવ	Jaggi Vasudev
વિશ્વ મોહન ભટ્ટ	Vishwa Mohan Bhatt
હયગ્રીવ	Hayagriva
શિવનાથ નદી	Shivnath River
સેતગંગા, છત્તિસગઢ	Setganga
ભોયરા 	Bhoira
ચુડા રજવાડું	Chuda State
દશાવતાર	Dashavatara
બ્રહ્મા મંદિર, પુષ્કર	Brahma Temple, Pushkar
વૃક્ષ વિચરણ	Arboreal locomotion
સેવાગ્રામ	Sevagram
સ્વીડિશ	Swedish language
કેન નદી	Ken River
સોમા જ્વાળામુખી	Somma volcano
સલિલ ચૌધરી	Salil Chowdhury
પાલા ગણેશ મંદિર, ઉદયપુર	Pala Ganesh Temple
જોંક નદી	Jonk River
પૈરી નદી	Pairi River
લીંબડી રજવાડું	Limbdi State
કાબુલ	Kabul
અફઘાનિસ્તાન	Afghanistan
કાબુલ પ્રાંત	Kabul Province
માણાવદર રજવાડું	Bantva Manavadar
કાબુલ નદી	Kabul River
પ્રાંત	Province
આલ્પ્સ પર્વતમાળા	Alps
સ્વાત નદી	Swat River
ભાભર 	Bhabar
બેડની બુગ્યાલ	Bedini Bugyal
છિદ્રાળુતા	Porosity
સુરક્ષા	Security
ખજરાના મંદિર, ઇન્દોર	Khajrana Ganesh Temple
રાજા બીરબલ	Birbal
નિમાડી બોલી	Nimadi language
બાલબોધ લિપિ	Balbodh
જીમૂતવાહન	Jimutavahana
ક્ષિપ્રા નદી	Shipra River
થિમ્ફુ જિલ્લો	Thimphu District
મુંડારી ભાષા	Mundari language
ભુતાન	Bhutan
Infobox language/codelist	Infobox language/codelist
એન. બિરેન સિંઘ	N. Biren Singh
ઇમ્ફાલ પૂર્વ જિલ્લો	Imphal East district
ઉખરુલ જિલ્લો	Ukhrul district
તિસ્તા નદી	Teesta River
BAN	BGD
ક્ષમાવણી	Kshamavani
ગોમતી નદી 	Gomati River 
સોમ્ગો સરોવર	Lake Tsomgo
રંગીત નદી	Rangeet River
દુગારવાડી ધોધ	Dugarwadi waterfall
નાંદુર મધમેશ્વર પક્ષી અભયારણ્ય	Nandur Madhmeshwar Bird Sanctuary
અરુણ નદી, નેપાળ	Arun River, China–Nepal
તિમણ ગઢ કિલ્લો	Timangarh
પરિક્રમા	Parikrama
મુંબા દેવી મંદિર	Mumba Devi Temple
વાલકેશ્વર મંદિર	Walkeshwar Temple
બોરી બંદર	Bori Bunder
આલમપુર પુરાતત્વ સંગ્રહાલય	Alampur Museum
લખનદેઈ નદી	Lakhandei River
હિમાયત સાગર	Himayat Sagar
સંખેડા ફર્નિચર	Sankheda furniture
ઉરણ ગેસ ટર્બાઈન ઊર્જા મથક	Uran Gas Turbine Power Station
મીઠી નદી, મુંબઈ	Mithi River
બ્રોકન બ્રીજ, ચેન્નઈ	Broken bridge, Chennai
Convinfobox/sec2	Convinfobox/sec2
Infobox Wikipedia bot	Infobox Wikipedia bot
Location map/data/Afghanistan	Location map/data/Afghanistan
તરલા દલાલ	Tarla Dalal
ઉત્તર પ્રદેશના જિલ્લાઓની યાદી	List of districts of Uttar Pradesh
ફેડ્રિક સેંગર	Frederick Sanger
નૌકાસન	Navasana
ખેચરી મુદ્રા	Khecarī mudrā
રુમટેક બૌદ્ધ મઠ	Rumtek Monastery
મણિપુરના જિલ્લાઓની યાદી	List of districts of Manipur
ચૌરી ચૌરા કાંડ	Chauri Chaura incident
રામગઢ તળાવ	Ramgarh Tal Lake
શાહગઢ 	Shahgarh
બરવાસાગર	Barua Sagar
ભાવિના હસમુખભાઈ પટેલ	Bhavina Hasmukhbhai Patel
શૌર્ય સ્મારક, ભોપાલ	Shaurya Smarak
વામન મંદિર, ખજુરાહો	Vamana Temple, Khajuraho
હુન્ડરુ ધોધ	Hundru Falls
મજલા ખેતર	Terrace 
મણિપુરના જિલ્લાઓ	Districts of Manipur
ચાંપાનેર રોડ રેલ્વે સ્ટેશન	Champaner Road railway station
બાજવા રેલ્વે સ્ટેશન	Bajva railway station
નંદેસરી રેલ્વે સ્ટેશન	Nandesari railway station
રણોલી રેલ્વે સ્ટેશન	Ranoli railway station
ગારો પહાડીઓ	Garo Hills
મા દેવરી મંદિર, ઝારખંડ	Maa Dewri Temple
અમારમકાવુ દુર્ગા મંદિર	Amaramkavu
ઝારખંડ ધામ	Jharkhand Dham
Asbox	Asbox
Buffer	Buffer
Asbox stubtree	Asbox stubtree
Stub documentation	Stub documentation
Indian Railways lines	Indian Railways lines
S-rail-start	S-rail-start
S-line/side cell	S-line/side cell
Indian Railways stations	Indian Railways stations
ગાલ્લે, શ્રીલંકા	Galle
શ્રીલંકાના શહેરો	Cities in Sri Lanka
શ્રીલંકા	Sri Lanka
ટ્રિંકોમલી, શ્રીલંકા	Trincomalee
હાપુર જિલ્લો	Hapur district
તાંડવ નૃત્ય	Tandava
વાઇમકારીરી નદી	Waimakariri River
ન્યુઝીલેન્ડ	New Zealand
ક્રાઇસ્ટચર્ચ	Christchurch
કમલા નહેરુ ઉદ્યાન, મુંબઈ	Kamala Nehru Park, Mumbai
હેંગિંગ ગાર્ડન, મુંબઈ	Hanging Gardens of Mumbai
તિલોત્તમા 	Tilottama
કુદરત સમયરેખા	Nature timeline
Graphical timeline	Graphical timeline
Timeline Note	Timeline Note
Draw Bar	Draw Bar
For loop	For loop
Timeline Legend	Timeline Legend
Font	Font
ઈન્દિરા ગાંધી પ્રિયદર્શિની પુરસ્કાર	Indira Gandhi Priyadarshini Award
કાસગંજ	Kasganj
શામલી જિલ્લો	Shamli district
શામલી	Shamli
સંભલ જિલ્લો	Sambhal district
અનૂપ તળાવ	Lagoon
કૂવો	Water well
ભાગ-દોડ	Stampede
માનવસર્જિત આફત	Man-made disasters
સાંદ્રતા	Concentration
હમ્ફ્રી ડેવી	Humphry Davy
અતાકામા રણ	Atacama Desert
મગોદ ધોધ, કર્ણાટક	Magod Falls
એનઆઈટીકે બીચ	NITK Beach
કાદરી ઉદ્યાન, મેંગલોર	Kadri Park
લેડી શ્રીરામ મહિલા મહાવિદ્યાલય	Lady Shri Ram College for Women
હરે કૃષ્ણ મંદિર, ટોરોન્ટો	Hare Krishna Temple 
કેનેડા	Canada
કાઠિયાવાડ	Kathiawar
મલખમ	Mallakhamba
હરીશ પટેલ	Harish Patel
અથરનાલા સેતુ	Atharanala
કારકાટ ધોધ	Karkat Waterfall
ગીર ગાય	Gyr cattle
કટારી ધોધ, કુન્નુર	Katary Falls
સિંધિયા ઘાટ, વારાણસી	Scindia Ghat
તુલસી ઘાટ, વારાણસી	Tulsi Ghat
પાતગઢ	Patgadh
રામનગર કિલ્લો, વારાણસી	Ramnagar Fort
તિબેટ	Tibet
તુલસી માનસ મંદિર, વારાણસી	Tulsi Manas Mandir
